MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIPO 14,03Year1,5/16/2006 12:00:00 AM,4,4,36,4,0,1,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 14,03Year10,5/20/2015 11:52:00 AM,,,,,,,,,,,,,4,6,6,12,ALI; HAMBY,KOEHLER,,,,,True,
PIPO 14,03Year10,5/20/2015 11:52:00 AM,-2147483648,1,96,2,0,1,2,PIPO,L of PIPO @ 45'; behind rocks at 95',,,,,,,,,,,,,,,
PIPO 14,03Year10,5/20/2015 11:52:00 AM,-2147483647,2,70,1,1,3,0,PIPO,L of PIPO @ 36'; R of big PIPO @ 86 ',,,,,,,,,,,,,,,
PIPO 14,03Year10,5/20/2015 11:52:00 AM,-2147483646,3,250,1,1,3,0,PIPO,L of TWIN PIPO @54' ,,,,,,,,,,,,,,,
PIPO 14,03Year10,5/20/2015 11:52:00 AM,-2147483645,4,36,4,1,3,0,PIPO,L of PIPO @ 63',,,,,,,,,,,,,,,
PIPO 14,03Year2,6/11/2007 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 14,03Year2,6/11/2007 12:00:00 AM,1,1,96,2,1,0,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 14,03Year2,6/11/2007 12:00:00 AM,2,2,70,1,1,1,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 14,03Year2,6/11/2007 12:00:00 AM,3,3,250,1,1,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 14,03Year2,6/11/2007 12:00:00 AM,4,4,36,4,1,0,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 14,03Year5,5/26/2010 4:01:08 PM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 14,03Year5,5/26/2010 4:01:08 PM,-2147483648,1,96,2,2,2,0,PIPO,,,,,,,,,,,,,,,,
PIPO 14,03Year5,5/26/2010 4:01:08 PM,-2147483647,2,70,1,0,0,0,PIPO,,,,,,,,,,,,,,,,
PIPO 14,03Year5,5/26/2010 4:01:08 PM,-2147483646,3,250,1,0,0,0,PIPO,,,,,,,,,,,,,,,,
PIPO 14,03Year5,5/26/2010 4:01:08 PM,-2147483645,4,36,4,0,4,0,PIPO,,,,,,,,,,,,,,,,
PIPO 14,Pre,8/1/1993 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 14,Pre,8/1/1993 12:00:00 AM,1,1,96,2,6,3,2,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 14,Pre,8/1/1993 12:00:00 AM,2,2,70,1,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 14,Pre,8/1/1993 12:00:00 AM,3,3,250,1,2,0,1,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 14,Pre,8/1/1993 12:00:00 AM,4,4,36,4,2,0,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
