MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIED 12,01Post,7/19/1992 12:00:00 AM,3,3,130,4,2,0,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 12,01Post,7/19/1992 12:00:00 AM,4,4,76,3,0,2,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 12,01Year2,6/12/1994 12:00:00 AM,,,,,,,,,,,,,3,6,6,12,,,,,,,True,
PIED 12,01Year2,6/12/1994 12:00:00 AM,2,2,312,8,2,1,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 12,01Year2,6/12/1994 12:00:00 AM,3,3,130,4,2,0,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 12,01Year2,6/12/1994 12:00:00 AM,4,4,76,3,1,1,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 12,01Year5,6/20/1997 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 12,01Year5,6/20/1997 12:00:00 AM,1,1,171,5,3,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 12,01Year5,6/20/1997 12:00:00 AM,2,2,312,8,4,2,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 12,01Year5,6/20/1997 12:00:00 AM,3,3,130,4,6,1,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 12,01Year5,6/20/1997 12:00:00 AM,4,4,76,3,2,1,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 12,02Pre,9/15/2023 11:30:20 PM,,,,,,,,,,,,,4,6,6,12,Lakin,Brannfors,,,,,True,
PIED 12,02Pre,9/15/2023 11:30:20 PM,1,1,171,7,1,0,0,PIED,Between JUOS and PIED @9ft; L of PIPO @28ft; cross Q4-Q1 @ 31.2m ,,,,,,,,,,,,,,,
PIED 12,02Pre,9/15/2023 11:30:20 PM,2,2,312,14,4,0,1,PIED,L of dead JUOS @17ft; L of PIED @ 80ft ,,,,,,,,,,,,,,,
PIED 12,02Pre,9/15/2023 11:30:20 PM,3,3,130,15,2,2,0,PIED,R of JUOS @10ft; L of dead JUOS #3 @28ft; R of PIED @42ft ,,,,,,,,,,,,,,,
PIED 12,02Pre,9/15/2023 11:30:20 PM,4,4,76,6,9,10,0,PIED,R of JUOS #3 @32ft; L of PIED @43ft; ends in rock outcrop,,,,,,,,,,,,,,,
PIED 12,02Year2,4/11/2002 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 12,02Year2,4/11/2002 12:00:00 AM,1,1,171,5,4,1,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 12,02Year2,4/11/2002 12:00:00 AM,2,2,312,8,1,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 12,02Year2,4/11/2002 12:00:00 AM,3,3,130,4,3,1,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 12,02Year2,4/11/2002 12:00:00 AM,4,4,76,3,0,1,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 12,Pre,6/11/1991 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 12,Pre,6/11/1991 12:00:00 AM,1,1,171,5,0,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 12,Pre,6/11/1991 12:00:00 AM,2,2,312,8,1,1,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 12,Pre,6/11/1991 12:00:00 AM,3,3,130,4,0,0,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 12,Pre,6/11/1991 12:00:00 AM,4,4,76,3,0,0,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 04,01Post,7/11/1992 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 04,01Post,7/11/1992 12:00:00 AM,1,1,24,6,2,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 04,01Post,7/11/1992 12:00:00 AM,2,2,190,2,9,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 04,01Post,7/11/1992 12:00:00 AM,3,3,134,2,0,1,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 04,01Post,7/11/1992 12:00:00 AM,4,4,336,3,3,6,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 04,01Year1,6/16/1993 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 04,01Year1,6/16/1993 12:00:00 AM,1,1,24,6,13,2,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 04,01Year1,6/16/1993 12:00:00 AM,2,2,190,2,22,5,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 04,01Year1,6/16/1993 12:00:00 AM,3,3,134,2,1,2,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 04,01Year1,6/16/1993 12:00:00 AM,4,4,336,3,11,4,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 04,01Year2,7/2/1994 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 04,01Year2,7/2/1994 12:00:00 AM,1,1,24,6,5,9,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 04,01Year2,7/2/1994 12:00:00 AM,2,2,190,2,18,2,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 04,01Year2,7/2/1994 12:00:00 AM,3,3,134,2,2,1,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 04,01Year2,7/2/1994 12:00:00 AM,4,4,336,3,2,8,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 04,01Year5,7/23/1997 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
