MacroPlot.Name,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIAB 06,9/4/2024 2:52:07 PM,25,3,20,False,0,0,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,26,3,25,False,0.3,0,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,27,3,30,False,0.6,0.8,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,28,3,35,False,0.3,0.1,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,29,3,40,False,0.7,0.6,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,30,3,45,False,0.7,0.8,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,31,4,1,False,0.9,1.6,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,32,4,5,False,0.6,0.5,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,33,4,10,False,1.1,0.6,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,34,4,15,False,0.3,0.4,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,35,4,20,False,0.7,0.5,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,36,4,25,False,0.5,0.8,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,37,4,30,False,0.8,1.1,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,38,4,35,False,0.7,0.9,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,39,4,40,False,0.9,2.7,,PIAB,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,40,4,45,False,0.7,0.8,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,,,,,,,,,,,,,4,Lalor; You-Mak,Gilmore,,,,,True,
PIAB 25,8/6/2024 11:02:09 AM,1,1,1,False,0.3,0,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,2,1,5,False,0.3,0.1,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,3,1,10,False,0.3,0.4,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,4,1,15,False,0.2,0.1,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,5,1,20,False,0.3,0,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,6,1,25,False,0.2,0.1,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,7,1,30,False,0.1,0.4,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,8,1,35,False,0.4,0.1,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,9,1,40,False,0.2,0,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,10,1,45,False,0.3,0.2,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,11,2,1,False,0.2,0.5,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,12,2,5,False,0.3,0.6,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,13,2,10,False,0.4,0.2,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,14,2,15,False,0.4,0.1,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,15,2,20,False,0.3,0,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,16,2,25,False,0.4,0.2,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,17,2,30,False,0.3,0.1,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,18,2,35,False,1.1,0.4,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,19,2,40,False,0.4,0.4,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,20,2,45,False,0.3,0.4,,PIAB,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,21,3,1,False,0.4,0.1,,PIAB,,,,,,,,,,,,,
